eartag,species,date,dpi,barn,general,temp,feces,odnd,headmucos,resp,totscore,autosum,tempc,scorer,notes,,,,,,,,
298,Caprine,14/6/2022,0,4,0,0,0,0,0,0,0,0,38.6,Fasil,Inoculation day,,,,,,,,
276,Caprine,14/6/2022,0,6,0,0,0,0,0,0,0,0,38.5,Fasil,Inoculation day,,,,,,,,
280,Caprine,14/6/2022,0,6,0,0,0,0,0,0,0,0,38.7,Fasil,Inoculation day,,,,,,,,
283,Caprine,14/6/2022,0,6,0,0,0,0,0,0,0,0,39.1,Fasil,Inoculation day,,,,,,,,
282,Caprine,30/3/2022,1,5,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,,,,
288,Caprine,30/3/2022,1,5,0,0,0,0,0,0,0,0,39.1,Fasil,,,,,,,,,
297,Caprine,30/3/2022,1,5,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
299,Caprine,30/3/2022,1,6,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,,,,
300,Caprine,30/3/2022,1,6,0,0,0,0,0,0,0,0,37.7,Fasil,,,,,,,,,
301,Caprine,30/3/2022,1,6,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,,,,
277,Caprine,30/3/2022,1,2,0,0,0,0,0,0,0,0,38.3,Fasil,,,,,,,,,
286,Caprine,30/3/2022,1,2,0,0,0,0,0,0,0,0,38.8,Fasil,,,,,,,,,
296,Caprine,30/3/2022,1,2,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,,,,
279,Caprine,30/3/2022,1,3,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,,,,
289,Caprine,30/3/2022,1,3,0,0,0,0,0,0,0,0,38.2,Fasil,,,,,,,,,
292,Caprine,30/3/2022,1,3,0,0,0,0,0,0,0,0,38.7,Fasil,,,,,,,,,
287,Caprine,15/6/2022,1,3,0,0,0,0,0,0,0,0,38.3,Fasil,,,,,,,,,
290,Caprine,15/6/2022,1,3,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,,,,
295,Caprine,15/6/2022,1,3,0,0,0,0,0,0,0,0,38.2,Fasil,,,,,,,,,
281,Caprine,15/6/2022,1,1,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,,,,
291,Caprine,15/6/2022,1,1,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,,,,
293,Caprine,15/6/2022,1,1,0,0,0,0,0,0,0,0,37.8,Fasil,,,,,,,,,
278,Caprine,15/6/2022,1,4,0,0,0,0,0,0,0,0,38.3,Fasil,,,,,,,,,
294,Caprine,15/6/2022,1,4,0,0,0,0,0,0,0,0,39,Fasil,,,,,,,,,
298,Caprine,15/6/2022,1,4,0,0,0,0,0,0,0,0,38.3,Fasil,,,,,,,,,
276,Caprine,15/6/2022,1,6,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
280,Caprine,15/6/2022,1,6,0,0,0,0,0,0,0,0,38.7,Fasil,,,,,,,,,
283,Caprine,15/6/2022,1,6,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
282,Caprine,31/3/2022,2,5,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
288,Caprine,31/3/2022,2,5,0,0,0,0,0,0,0,0,39.2,Fasil,,,,,,,,,
297,Caprine,31/3/2022,2,5,0,0,0,0,0,0,0,0,38.3,Fasil,,,,,,,,,
299,Caprine,31/3/2022,2,6,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,,,,
300,Caprine,31/3/2022,2,6,0,0,0,0,0,0,0,0,37.7,Fasil,,,,,,,,,
301,Caprine,31/3/2022,2,6,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,,,,
277,Caprine,31/3/2022,2,2,0,0,0,0,0,0,0,0,38.7,Fasil,,,,,,,,,
286,Caprine,31/3/2022,2,2,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
296,Caprine,31/3/2022,2,2,0,0,0,0,0,0,0,0,39.1,Fasil,,,,,,,,,
279,Caprine,31/3/2022,2,3,0,0,0,0,0,0,0,0,38,Fasil,,,,,,,,,
289,Caprine,31/3/2022,2,3,0,0,0,0,0,0,0,0,37.9,Fasil,,,,,,,,,
292,Caprine,31/3/2022,2,3,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,,,,
287,Caprine,16/6/2022,2,3,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
290,Caprine,16/6/2022,2,3,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
295,Caprine,16/6/2022,2,3,0,0,0,0,0,0,0,0,38.3,Fasil,,,,,,,,,
281,Caprine,16/6/2022,2,1,0,0,0,0,0,0,0,0,38,Fasil,,,,,,,,,
291,Caprine,16/6/2022,2,1,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,,,,
293,Caprine,16/6/2022,2,1,0,0,0,0,0,0,0,0,37.9,Fasil,,,,,,,,,
278,Caprine,16/6/2022,2,4,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
294,Caprine,16/6/2022,2,4,0,0,0,0,0,0,0,0,39,Fasil,,,,,,,,,
298,Caprine,16/6/2022,2,4,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,,,,
276,Caprine,16/6/2022,2,6,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
280,Caprine,16/6/2022,2,6,0,0,0,0,0,0,0,0,38.7,Fasil,,,,,,,,,
283,Caprine,16/6/2022,2,6,0,0,0,0,0,0,0,0,38.3,Fasil,,,,,,,,,
282,Caprine,1/4/2022,3,5,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
288,Caprine,1/4/2022,3,5,0,0,0,0,0,0,0,0,39,Fasil,,,,,,,,,
297,Caprine,1/4/2022,3,5,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,,,,
299,Caprine,1/4/2022,3,6,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
300,Caprine,1/4/2022,3,6,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
301,Caprine,1/4/2022,3,6,0,0,0,0,0,0,0,0,38.8,Fasil,,,,,,,,,
277,Caprine,1/4/2022,3,2,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
286,Caprine,1/4/2022,3,2,0,0,0,0,0,0,0,0,39.1,Fasil,,,,,,,,,
296,Caprine,1/4/2022,3,2,0,0,0,0,0,0,0,0,39.4,Fasil,,,,,,,,,
279,Caprine,1/4/2022,3,3,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
289,Caprine,1/4/2022,3,3,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
292,Caprine,1/4/2022,3,3,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,,,,
287,Caprine,17/6/2022,3,3,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
290,Caprine,17/6/2022,3,3,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
295,Caprine,17/6/2022,3,3,0,0,0,0,0,0,0,0,39,Fasil,,,,,,,,,
281,Caprine,17/6/2022,3,1,0,0,0,0,0,0,0,0,39,Fasil,,,,,,,,,
291,Caprine,17/6/2022,3,1,0,0,0,0,0,0,0,0,38.2,Fasil,,,,,,,,,
293,Caprine,17/6/2022,3,1,0,0,0,0,0,0,0,0,38,Fasil,,,,,,,,,
278,Caprine,17/6/2022,3,4,0,0,0,0,0,0,0,0,38,Fasil,,,,,,,,,
294,Caprine,17/6/2022,3,4,0,0,0,0,0,0,0,0,39,Fasil,,,,,,,,,
298,Caprine,17/6/2022,3,4,0,0,0,0,0,0,0,0,38.2,Fasil,,,,,,,,,
276,Caprine,17/6/2022,3,6,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
280,Caprine,17/6/2022,3,6,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
283,Caprine,17/6/2022,3,6,0,0,0,0,0,0,0,0,39.3,Fasil,,,,,,,,,
282,Caprine,2/4/2022,4,5,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
288,Caprine,2/4/2022,4,5,0,0,0,0,0,0,0,0,39,Fasil,,,,,,,,,
297,Caprine,2/4/2022,4,5,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,,,,
299,Caprine,2/4/2022,4,6,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
300,Caprine,2/4/2022,4,6,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
301,Caprine,2/4/2022,4,6,0,0,0,0,0,0,0,0,38.8,Fasil,,,,,,,,,
277,Caprine,2/4/2022,4,2,1,0,0,0,0,0,1,1,38.7,Fasil,,,,,,,,,
286,Caprine,2/4/2022,4,2,1,1,0,0,0,0,2,2,39.5,Fasil,,,,,,,,,
296,Caprine,2/4/2022,4,2,1,2,0,1,1,1,6,6,40.7,Fasil,"Nasal discharge, congested mucous membrain and coughing",,,,,,,,
279,Caprine,2/4/2022,4,3,1,1,0,0,0,0,2,2,39.7,Fasil,,,,,,,,,
289,Caprine,2/4/2022,4,3,1,0,0,1,0,0,2,2,39,Fasil,Nasal discharge,,,,,,,,
292,Caprine,2/4/2022,4,3,1,1,0,1,0,0,3,3,39.5,Fasil,Nasal discharge,,,,,,,,
287,Caprine,18/6/2022,4,3,0,0,0,0,0,0,0,0,38.7,Fasil,,,,,,,,,
290,Caprine,18/6/2022,4,3,0,0,0,0,0,0,0,0,39.1,Fasil,,,,,,,,,
295,Caprine,18/6/2022,4,3,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
281,Caprine,18/6/2022,4,1,1,1,0,1,1,0,4,4,39.7,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
291,Caprine,18/6/2022,4,1,1,0,0,0,0,0,1,1,39.3,Fasil,,,,,,,,,
293,Caprine,18/6/2022,4,1,1,0,0,1,0,0,2,2,39.2,Fasil,watery/serous nasal discharge,,,,,,,,
278,Caprine,18/6/2022,4,4,1,0,0,0,0,0,1,1,38.8,Fasil,,,,,,,,,
294,Caprine,18/6/2022,4,4,1,1,0,1,1,0,4,4,39.8,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
298,Caprine,18/6/2022,4,4,1,1,0,1,1,0,4,4,39.6,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
276,Caprine,18/6/2022,4,6,1,0,0,1,0,0,2,2,39.2,Fasil,watery/serous nasal discharge,,,,,,,,
280,Caprine,18/6/2022,4,6,1,2,0,1,0,0,4,4,40.3,Fasil,watery/serous nasal discharge,,,,,,,,
283,Caprine,18/6/2022,4,6,1,2,0,1,1,0,5,5,40.1,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
282,Caprine,3/4/2022,5,5,0,0,0,0,0,0,0,0,39.2,Fasil,,,,,,,,,
288,Caprine,3/4/2022,5,5,0,0,0,0,0,0,0,0,39.3,Fasil,,,,,,,,,
297,Caprine,3/4/2022,5,5,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
299,Caprine,3/4/2022,5,6,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
300,Caprine,3/4/2022,5,6,0,0,0,0,0,0,0,0,39.2,Fasil,,,,,,,,,
301,Caprine,3/4/2022,5,6,0,0,0,0,0,0,0,0,38.8,Fasil,,,,,,,,,
277,Caprine,3/4/2022,5,2,1,1,0,1,0,0,3,3,39.7,Fasil,Nasal discharge,,,,,,,,
286,Caprine,3/4/2022,5,2,1,1,0,1,1,0,4,4,39.6,Fasil,"Nasal discharge, congested mucous membrain ",,,,,,,,
296,Caprine,3/4/2022,5,2,1,2,0,1,0,1,5,5,41.1,Fasil,Nasal discharge and coughing,,,,,,,,
279,Caprine,3/4/2022,5,3,1,2,0,1,1,0,5,5,40.4,Fasil,Nasal discharge and congested mucous membrain,,,,,,,,
289,Caprine,3/4/2022,5,3,1,1,1,1,1,0,5,5,39.6,Fasil,Nasal discharge and congested mucous membrain,,,,,,,,
292,Caprine,3/4/2022,5,3,1,0,1,1,1,0,4,4,39.3,Fasil,Nasal discharge and congested mucous membrain,,,,,,,,
287,Caprine,19/6/2022,5,3,0,0,0,0,0,0,0,0,38.3,Fasil,,,,,,,,,
290,Caprine,19/6/2022,5,3,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
295,Caprine,19/6/2022,5,3,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
281,Caprine,19/6/2022,5,1,1,1,0,1,1,0,4,4,39.9,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
291,Caprine,19/6/2022,5,1,1,0,0,1,1,0,3,3,39.4,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
293,Caprine,19/6/2022,5,1,1,0,0,1,0,0,2,2,39.3,Fasil,watery/serous nasal discharge,,,,,,,,
278,Caprine,19/6/2022,5,4,1,1,0,1,1,0,4,4,39.5,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
294,Caprine,19/6/2022,5,4,1,2,0,1,1,1,6,6,40.2,Fasil,"watery/serous nasal discharge, congested mucous membrain & coughing",,,,,,,,
298,Caprine,19/6/2022,5,4,1,1,0,1,1,0,4,4,40,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
276,Caprine,19/6/2022,5,6,1,0,0,1,1,0,3,3,38.8,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
280,Caprine,19/6/2022,5,6,2,2,0,1,1,0,6,6,40.2,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
283,Caprine,19/6/2022,5,6,2,2,0,1,1,0,6,6,40.4,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
282,Caprine,4/4/2022,6,5,0,0,0,0,0,0,0,0,39.2,Fasil,,,,,,,,,
288,Caprine,4/4/2022,6,5,0,0,0,0,0,0,0,0,39.4,Fasil,,,,,,,,,
297,Caprine,4/4/2022,6,5,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
299,Caprine,4/4/2022,6,6,0,0,0,1,0,0,1,1,39,Fasil,Nasal discharge,,,,,,,,
300,Caprine,4/4/2022,6,6,0,0,0,0,0,0,0,0,39.3,Fasil,,,,,,,,,
301,Caprine,4/4/2022,6,6,0,0,0,1,0,0,1,1,38.8,Fasil,Nasal discharge,,,,,,,,
277,Caprine,4/4/2022,6,2,1,1,0,1,1,0,4,4,39.6,Fasil,Nasal discharge & congested mucous membrain,,,,,,,,
286,Caprine,4/4/2022,6,2,1,1,0,1,1,0,4,4,39.8,Fasil,Nasal discharge & congested mucous membrain,,,,,,,,
296,Caprine,4/4/2022,6,2,2,2,1,1,1,1,8,8,40.5,Fasil,"Nasal discharge, congested mucous membraine & coughing",,,,,,,,
279,Caprine,4/4/2022,6,3,1,2,0,1,1,0,5,5,40.1,Fasil,Nasal discharge & congested mucous membrain,,,,,,,,
289,Caprine,4/4/2022,6,3,2,1,1,1,1,0,6,6,39.6,Fasil,Nasal discharge & congested mucous membrain,,,,,,,,
292,Caprine,4/4/2022,6,3,1,1,1,1,1,0,5,5,39.7,Fasil,Nasal discharge & congested mucous membrain,,,,,,,,
287,Caprine,20/6/2022,6,3,0,0,0,0,0,0,0,0,37.9,Fasil,,,,,,,,,
290,Caprine,20/6/2022,6,3,0,0,0,0,0,0,0,0,39.1,Fasil,,,,,,,,,
295,Caprine,20/6/2022,6,3,0,0,0,0,0,0,0,0,38.3,Fasil,,,,,,,,,
281,Caprine,20/6/2022,6,1,1,1,0,1,1,0,4,4,39.6,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
291,Caprine,20/6/2022,6,1,1,0,0,1,1,0,3,3,39.2,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
293,Caprine,20/6/2022,6,1,1,0,0,1,1,0,3,3,39.3,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
278,Caprine,20/6/2022,6,4,1,0,0,1,1,0,3,3,39.3,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
294,Caprine,20/6/2022,6,4,2,2,0,1,1,1,7,7,40.5,Fasil,"watery/serous nasal discharge, congested mucous membrain & coughing",,,,,,,,
298,Caprine,20/6/2022,6,4,2,1,0,1,1,0,5,5,39.9,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
276,Caprine,20/6/2022,6,6,1,0,0,1,1,0,3,3,38.8,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
280,Caprine,20/6/2022,6,6,2,0,0,1,1,0,4,4,39.2,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
283,Caprine,20/6/2022,6,6,2,1,0,1,1,1,6,6,39.8,Fasil,"watery/serous nasal discharge, congested mucous membrain & coughing",,,,,,,,
282,Caprine,5/4/2022,7,5,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
288,Caprine,5/4/2022,7,5,0,0,0,0,0,0,0,0,39,Fasil,,,,,,,,,
297,Caprine,5/4/2022,7,5,0,0,0,0,0,0,0,0,38.2,Fasil,,,,,,,,,
299,Caprine,5/4/2022,7,6,0,0,0,1,0,0,1,1,38.9,Fasil,Nasal discharge,,,,,,,,
300,Caprine,5/4/2022,7,6,0,0,0,1,0,0,1,1,38.8,Fasil,Nasal discharge,,,,,,,,
301,Caprine,5/4/2022,7,6,0,0,0,0,0,0,0,0,38.8,Fasil,,,,,,,,,
277,Caprine,5/4/2022,7,2,2,2,0,1,1,1,7,7,40.2,Fasil,"Nasal discharge, congested mucous membraine & coughing",,,,,,,,
286,Caprine,5/4/2022,7,2,1,0,1,1,0,1,4,4,39.1,Fasil,Nasal discharge & coughing,,,,,,,,
296,Caprine,5/4/2022,7,2,2,1,1,2,1,1,8,8,39.9,Fasil,"Mucopurulent nasal discharge, congested mucous membraine & coughing",,,,,,,,
279,Caprine,5/4/2022,7,3,2,2,0,1,1,0,6,6,41.1,Fasil,Nasal discharge & congested mucous membrain,,,,,,,,
289,Caprine,5/4/2022,7,3,2,1,1,1,1,1,7,7,39.8,Fasil,"Nasal discharge, congested mucous membrain & coughing",,,,,,,,
292,Caprine,5/4/2022,7,3,2,2,1,2,1,1,9,9,40.1,Fasil,"Mucopurulent nasal discharge, congested mucous membraine & coughing",,,,,,,,
287,Caprine,21/6/2022,7,3,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
290,Caprine,21/6/2022,7,3,0,0,0,0,0,0,0,0,39,Fasil,,,,,,,,,
295,Caprine,21/6/2022,7,3,0,0,0,0,0,0,0,0,38.1,Fasil,,,,,,,,,
281,Caprine,21/6/2022,7,1,2,1,0,1,1,0,5,5,39.8,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
291,Caprine,21/6/2022,7,1,1,0,0,1,1,0,3,3,39.4,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
293,Caprine,21/6/2022,7,1,1,0,1,1,1,0,4,4,39.1,Fasil,"watery/serous nasal discharge, congested mucous membrain & soft feces",,,,,,,,
278,Caprine,21/6/2022,7,4,1,0,0,1,1,0,3,3,39.3,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
294,Caprine,21/6/2022,7,4,2,2,0,2,1,1,8,8,40.5,Fasil,"Mucopurulent nasal discharge, congested mucous membrain & coughing",,,,,,,,
298,Caprine,21/6/2022,7,4,2,1,0,2,1,0,6,6,39.8,Fasil,Mucopurulent nasal discharge & congested mucous membrain ,,,,,,,,
276,Caprine,21/6/2022,7,6,2,0,1,1,1,0,5,5,39.3,Fasil,"watery/serous nasal discharge, congested mucous membrain & soft feces",,,,,,,,
280,Caprine,21/6/2022,7,6,2,2,0,1,1,0,6,6,40.1,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
283,Caprine,21/6/2022,7,6,2,2,0,2,1,1,8,8,40.3,Fasil,"Mucopurulent nasal discharge, congested mucous membrain & coughing",,,,,,,,
282,Caprine,6/4/2022,8,5,0,0,0,0,0,0,0,0,38.5,Fasil,,,,,,,,,
288,Caprine,6/4/2022,8,5,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
297,Caprine,6/4/2022,8,5,0,0,0,0,0,0,0,0,38.7,Fasil,,,,,,,,,
299,Caprine,6/4/2022,8,6,0,0,0,1,0,0,1,1,38.9,Fasil,Nasal discharge,,,,,,,,
300,Caprine,6/4/2022,8,6,0,0,0,0,0,0,0,0,0,Fasil,sacrificed at 5/4/2022,,,,,,,,
301,Caprine,6/4/2022,8,6,0,0,0,1,0,0,1,1,38.8,Fasil,Nasal discharge,,,,,,,,
277,Caprine,6/4/2022,8,2,0,0,0,0,0,0,0,0,0,Fasil,sacrificed at 5/4/2022,,,,,,,,
286,Caprine,6/4/2022,8,2,1,1,0,1,1,1,5,5,39.6,Fasil,"Nasal discharge, congested mucous membraine & coughing",,,,,,,,
296,Caprine,6/4/2022,8,2,2,2,1,2,2,1,10,10,40.1,Fasil,"Mucopurulent nasal & ocular discharge, congested mucous membraine & coughing",,,,,,,,
279,Caprine,6/4/2022,8,3,0,0,0,0,0,0,0,0,0,Fasil,sacrificed at 5/4/2022,,,,,,,,
289,Caprine,6/4/2022,8,3,2,0,1,2,1,1,7,7,39.1,Fasil,"Mucopurulent nasal & ocular discharge, congested mucous membraine & coughing",,,,,,,,
292,Caprine,6/4/2022,8,3,3,1,2,2,1,2,11,11,39.8,Fasil,"Mucopurulent nasal & ocular discharge, congested mucous membraine & coughing",,,,,,,,
287,Caprine,22/6/2022,8,3,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,,,,
290,Caprine,22/6/2022,8,3,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
295,Caprine,22/6/2022,8,3,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
281,Caprine,22/6/2022,8,1,0,0,0,0,0,0,0,0,0,Fasil,sacrificed at 21/6/2022,,,,,,,,
291,Caprine,22/6/2022,8,1,2,1,0,1,1,1,6,6,39.8,Fasil,"watery/serous nasal discharge, congested mucous membrain & coughing",,,,,,,,
293,Caprine,22/6/2022,8,1,2,1,1,1,1,0,6,6,39.5,Fasil,"watery/serous nasal discharge, congested mucous membrain & soft feces",,,,,,,,
278,Caprine,22/6/2022,8,4,2,2,0,1,1,0,6,6,40.2,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
294,Caprine,22/6/2022,8,4,3,2,1,2,2,1,11,11,41,Fasil,"Mucopurulent nasal discharge, highly congested mucous membrain, coughing & soft feces",,,,,,,,
298,Caprine,22/6/2022,8,4,0,0,0,0,0,0,0,0,0,Fasil,sacrificed at 21/6/2022,,,,,,,,
276,Caprine,22/6/2022,8,6,0,0,0,0,0,0,0,0,0,Fasil,sacrificed at 21/6/2022,,,,,,,,
280,Caprine,22/6/2022,8,6,2,0,1,2,2,0,7,7,39.4,Fasil,"Mucopurulent nasal discharge, highly congested mucous membrain & soft feces",,,,,,,,
283,Caprine,22/6/2022,8,6,2,2,1,2,2,1,10,10,40.5,Fasil,"Mucopurulent nasal discharge, highly congested mucous membrain, coughing & soft feces",,,,,,,,
282,Caprine,7/4/2022,9,5,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
288,Caprine,7/4/2022,9,5,0,0,0,0,0,0,0,0,39,Fasil,,,,,,,,,
297,Caprine,7/4/2022,9,5,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
299,Caprine,7/4/2022,9,6,0,0,0,1,0,0,1,1,39.4,Fasil,Nasal discharge,,,,,,,,
300,Caprine,7/4/2022,9,6,0,0,0,0,0,0,0,0,0,Fasil,sacrificed at 5/4/2022,,,,,,,,
301,Caprine,7/4/2022,9,6,0,0,0,1,0,0,1,1,38.5,Fasil,Nasal discharge,,,,,,,,
277,Caprine,7/4/2022,9,2,0,0,0,0,0,0,0,0,0,Fasil,sacrificed at 5/4/2022,,,,,,,,
286,Caprine,7/4/2022,9,2,3,0,1,2,2,1,9,9,38.3,Fasil,"Mucopurulent nasal & ocular discharge, highly congested mucous membraine & coughing",,,,,,,,
296,Caprine,7/4/2022,9,2,2,0,1,2,1,2,8,8,39.2,Fasil,"Mucopurulent nasal & ocular discharge, congested mucous membraine & severe coughing",,,,,,,,
279,Caprine,7/4/2022,9,3,0,0,0,0,0,0,0,0,0,Fasil,sacrificed at 5/4/2022,,,,,,,,
289,Caprine,7/4/2022,9,3,2,0,1,2,2,1,8,8,38.8,Fasil,"Mucopurulent nasal & ocular discharge, highly congested mucous membraine & coughing",,,,,,,,
292,Caprine,7/4/2022,9,3,3,2,2,2,2,2,13,13,40.2,Fasil,"Mucopurulent nasal & ocular discharge, highly congested mucous membraine & severe  coughing",,,,,,,,
287,Caprine,23/6/2022,9,3,0,0,0,0,0,0,0,0,38.6,Fasil,,,,,,,,,
290,Caprine,23/6/2022,9,3,0,0,0,0,0,0,0,0,38.9,Fasil,,,,,,,,,
295,Caprine,23/6/2022,9,3,0,0,0,0,0,0,0,0,38.4,Fasil,,,,,,,,,
281,Caprine,23/6/2022,9,1,0,0,0,0,0,0,0,0,0,Fasil,sacrificed at 21/6/2022,,,,,,,,
291,Caprine,23/6/2022,9,1,2,0,0,1,1,0,4,4,38.6,Fasil,watery/serous nasal discharge & congested mucous membrain,,,,,,,,
